,Film_FirstReleaseMonth_Cat_April,Film_FirstReleaseMonth_Cat_August,Film_FirstReleaseMonth_Cat_December,Film_FirstReleaseMonth_Cat_February,Film_FirstReleaseMonth_Cat_January,Film_FirstReleaseMonth_Cat_July,Film_FirstReleaseMonth_Cat_June,Film_FirstReleaseMonth_Cat_March,Film_FirstReleaseMonth_Cat_May,Film_FirstReleaseMonth_Cat_November,Film_FirstReleaseMonth_Cat_October,Film_FirstReleaseMonth_Cat_September,Film_Metacritic,Genre_Action,Genre_Adventure,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Nomination_Film_Title,Nomination_Is_Winner,Nominations_Academy_Crew_OtherNomPrevYearCount,Nominations_Academy_Crew_OtherNomSameYearCount,Nominations_Academy_Crew_OtherWinPrevYearCount,Nominations_Academy_Film_ActorNomCount,Nominations_Academy_Film_ActressNomCount,Nominations_Academy_Film_BestPictureNomCount,Nominations_Academy_Film_DirectorNomCount,Nominations_Academy_Film_HasMajorNoms,Nominations_Academy_Film_OtherNomCount,Nominations_Academy_Film_ScreenplayNomCount,Nominations_Academy_Person_OtherBestDirectorNomPrevYearCount,Nominations_Academy_Person_OtherBestDirectorNomSameYearCount,Nominations_Academy_Person_OtherBestDirectorWinPrevYearCount,Nominations_Academy_Person_OtherNonBestDirectorNomPrevYearCount,Nominations_Academy_Person_OtherNonBestDirectorNomSameYearCount,Nominations_Academy_Person_OtherNonBestDirectorWinPrevYearCount,Person_Age,Person_Name
34,0,0,0,0,0,0,0,0,0,0,1,0,86.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Lincoln  ,0,61,1,24,1,0,1,1,0,8,1,4,0,2,6,1,2,66,Steven Spielberg
35,0,0,0,0,0,0,0,0,1,0,0,0,89.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Artist  ,1,2,0,0,1,0,1,1,0,6,1,0,0,0,0,2,0,44,Michel Hazanavicius
36,0,0,0,0,0,0,0,0,0,0,0,1,84.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Descendants  ,0,10,1,3,1,0,1,1,0,1,1,1,0,0,1,2,1,50,Alexander Payne
37,0,0,0,0,0,0,0,0,0,0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Hugo  ,0,48,0,17,0,0,1,1,0,8,1,5,0,1,2,1,0,69,Martin Scorsese
38,0,0,0,0,0,0,0,0,1,0,0,0,85.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Tree of Life  ,0,31,4,5,0,0,1,1,0,1,0,1,0,0,1,0,0,68,Terrence Malick
39,0,0,0,0,0,0,0,0,1,0,0,0,81.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Midnight in Paris  ,0,4,0,3,0,0,1,1,0,1,1,5,0,1,13,1,2,76,Woody Allen
40,0,0,0,0,0,0,0,0,0,0,0,1,88.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The King's Speech  ,1,15,0,3,1,0,1,1,0,8,1,0,0,0,0,0,0,38,Tom Hooper
41,0,0,0,0,0,0,0,0,0,0,0,1,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Black Swan  ,0,4,0,2,0,1,1,1,0,2,0,0,0,0,0,0,0,41,Darren Aronofsky
42,0,0,0,0,0,0,0,0,0,0,0,1,95.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Social Network  ,0,16,1,8,1,0,1,1,0,4,1,1,0,0,0,0,0,48,David Fincher
43,0,0,1,0,0,0,0,0,0,0,0,0,79.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,The Fighter  ,0,8,1,3,0,0,1,1,0,4,1,0,0,0,0,0,0,52,David O. Russell
